@relation biodiversitySpreadsheets_whithoutWeights

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
353,47,769,831,0.480625,0.8825,0.314617,0.8825,0.685383,0.463863,0.561,1.573084,0.051955
353,47,764,836,0.4775,0.8825,0.316025,0.8825,0.683975,0.465392,0.5585,1.580125,0.052595
353,47,763,837,0.476875,0.8825,0.316308,0.8825,0.683692,0.465699,0.558,1.581541,0.052819
353,47,762,838,0.47625,0.8825,0.316592,0.8825,0.683408,0.466007,0.5575,1.58296,0.05305
353,47,759,841,0.474375,0.8825,0.317446,0.8825,0.682554,0.466931,0.556,1.58723,0.053286
353,47,758,842,0.47375,0.8825,0.317732,0.8825,0.682268,0.46724,0.5555,1.588659,0.053333
353,47,757,843,0.473125,0.8825,0.318018,0.8825,0.681982,0.46755,0.555,1.59009,0.053712
353,47,756,844,0.4725,0.8825,0.318305,0.8825,0.681695,0.46786,0.5545,1.591524,0.054946
353,47,753,847,0.470625,0.8825,0.319168,0.8825,0.680832,0.468792,0.553,1.595841,0.055
353,47,751,849,0.469375,0.8825,0.319746,0.8825,0.680254,0.469415,0.552,1.598732,0.055294
352,48,750,850,0.46875,0.88,0.319419,0.88,0.680581,0.468708,0.551,1.597096,0.055304
352,48,746,854,0.46625,0.88,0.320583,0.88,0.679417,0.46996,0.549,1.602914,0.056
352,48,745,855,0.465625,0.88,0.320875,0.88,0.679125,0.470274,0.5485,1.604376,0.056298
352,48,744,856,0.465,0.88,0.321168,0.88,0.678832,0.470588,0.548,1.605839,0.056369
352,48,743,857,0.464375,0.88,0.321461,0.88,0.678539,0.470903,0.5475,1.607306,0.057619
351,49,743,857,0.464375,0.8775,0.320841,0.8775,0.679159,0.46988,0.547,1.604205,0.058183
351,49,736,864,0.46,0.8775,0.322907,0.8775,0.677093,0.472091,0.5435,1.614535,0.05828
351,49,735,865,0.459375,0.8775,0.323204,0.8775,0.676796,0.472409,0.543,1.616022,0.058333
351,49,734,866,0.45875,0.8775,0.323502,0.8775,0.676498,0.472727,0.5425,1.617512,0.06
350,50,726,874,0.45375,0.875,0.325279,0.875,0.674721,0.474255,0.538,1.626394,0.060287
350,50,725,875,0.453125,0.875,0.325581,0.875,0.674419,0.474576,0.5375,1.627907,0.060452
350,50,724,876,0.4525,0.875,0.325885,0.875,0.674115,0.474898,0.537,1.629423,0.060588
350,50,723,877,0.451875,0.875,0.326188,0.875,0.673812,0.475221,0.5365,1.630941,0.062532
350,50,722,878,0.45125,0.875,0.326493,0.875,0.673507,0.475543,0.536,1.632463,0.062778
350,50,720,880,0.45,0.875,0.327103,0.875,0.672897,0.47619,0.535,1.635514,0.0635
350,50,719,881,0.449375,0.875,0.327409,0.875,0.672591,0.476515,0.5345,1.637044,0.064286
350,50,718,882,0.44875,0.875,0.327715,0.875,0.672285,0.476839,0.534,1.638577,0.065
350,50,717,883,0.448125,0.875,0.328022,0.875,0.671978,0.477164,0.5335,1.640112,0.065167
350,50,715,885,0.446875,0.875,0.328638,0.875,0.671362,0.477816,0.5325,1.643192,0.066607
350,50,714,886,0.44625,0.875,0.328947,0.875,0.671053,0.478142,0.532,1.644737,0.066889
350,50,713,887,0.445625,0.875,0.329257,0.875,0.670743,0.478469,0.5315,1.646284,0.0675
350,50,711,889,0.444375,0.875,0.329877,0.875,0.670123,0.479124,0.5305,1.649387,0.067723
350,50,710,890,0.44375,0.875,0.330189,0.875,0.669811,0.479452,0.53,1.650943,0.068448
350,50,709,891,0.443125,0.875,0.3305,0.875,0.6695,0.479781,0.5295,1.652502,0.068733
349,51,709,891,0.443125,0.8725,0.329868,0.8725,0.670132,0.478738,0.529,1.649338,0.069583
349,51,708,892,0.4425,0.8725,0.33018,0.8725,0.66982,0.479067,0.5285,1.650899,0.069909
348,52,708,892,0.4425,0.87,0.329545,0.87,0.670455,0.478022,0.528,1.647727,0.07
348,52,707,893,0.441875,0.87,0.329858,0.87,0.670142,0.478351,0.5275,1.649289,0.07
348,52,702,898,0.43875,0.87,0.331429,0.87,0.668571,0.48,0.525,1.657143,0.07137
348,52,701,899,0.438125,0.87,0.331745,0.87,0.668255,0.480331,0.5245,1.658723,0.071516
348,52,700,900,0.4375,0.87,0.332061,0.87,0.667939,0.480663,0.524,1.660305,0.072683
348,52,698,902,0.43625,0.87,0.332696,0.87,0.667304,0.481328,0.523,1.66348,0.072701
348,52,697,903,0.435625,0.87,0.333014,0.87,0.666986,0.481661,0.5225,1.665072,0.073206
348,52,696,904,0.435,0.87,0.333333,0.87,0.666667,0.481994,0.522,1.666667,0.074167
348,52,695,905,0.434375,0.87,0.333653,0.87,0.666347,0.482328,0.5215,1.668265,0.076
347,53,695,905,0.434375,0.8675,0.333013,0.8675,0.666987,0.481276,0.521,1.665067,0.076167
347,53,694,906,0.43375,0.8675,0.333333,0.8675,0.666667,0.48161,0.5205,1.666667,0.076667
347,53,692,908,0.4325,0.8675,0.333975,0.8675,0.666025,0.482279,0.5195,1.669875,0.07828
346,54,692,908,0.4325,0.865,0.333333,0.865,0.666667,0.481224,0.519,1.666667,0.078381
346,54,691,909,0.431875,0.865,0.333655,0.865,0.666345,0.481559,0.5185,1.668274,0.078554
346,54,690,910,0.43125,0.865,0.333977,0.865,0.666023,0.481894,0.518,1.669884,0.078594
346,54,689,911,0.430625,0.865,0.3343,0.865,0.6657,0.48223,0.5175,1.671498,0.08
346,54,687,913,0.429375,0.865,0.334947,0.865,0.665053,0.482903,0.5165,1.674734,0.081024
346,54,686,914,0.42875,0.865,0.335271,0.865,0.664729,0.48324,0.516,1.676357,0.081192
346,54,685,915,0.428125,0.865,0.335597,0.865,0.664403,0.483578,0.5155,1.677983,0.081667
346,54,684,916,0.4275,0.865,0.335922,0.865,0.664078,0.483916,0.515,1.679612,0.081743
346,54,682,918,0.42625,0.865,0.336576,0.865,0.663424,0.484594,0.514,1.682879,0.08325
346,54,681,919,0.425625,0.865,0.336904,0.865,0.663096,0.484933,0.5135,1.684518,0.084
345,55,681,919,0.425625,0.8625,0.336257,0.8625,0.663743,0.483871,0.513,1.681287,0.084167
345,55,680,920,0.425,0.8625,0.336585,0.8625,0.663415,0.484211,0.5125,1.682927,0.085295
345,55,679,921,0.424375,0.8625,0.336914,0.8625,0.663086,0.484551,0.512,1.68457,0.085576
345,55,678,922,0.42375,0.8625,0.337243,0.8625,0.662757,0.484891,0.5115,1.686217,0.085599
344,56,677,923,0.423125,0.86,0.336925,0.86,0.663075,0.484166,0.5105,1.684623,0.085714
344,56,676,924,0.4225,0.86,0.337255,0.86,0.662745,0.484507,0.51,1.686275,0.086106
344,56,675,925,0.421875,0.86,0.337586,0.86,0.662414,0.484848,0.5095,1.687929,0.086486
343,57,673,927,0.420625,0.8575,0.337598,0.8575,0.662402,0.484463,0.508,1.687992,0.089725
342,58,673,927,0.420625,0.855,0.336946,0.855,0.663054,0.483392,0.5075,1.684729,0.09
341,59,665,935,0.415625,0.8525,0.338966,0.8525,0.661034,0.485064,0.503,1.694831,0.09
341,59,664,936,0.415,0.8525,0.339303,0.8525,0.660697,0.485409,0.5025,1.696517,0.090326
341,59,663,937,0.414375,0.8525,0.339641,0.8525,0.660359,0.485755,0.502,1.698207,0.090952
