True Positives	 False Negatives	 False Positives	 True Negatives	 False Positive Rate	 True Positive Rate	 Precision numeric	 Recall numeric	 Fallout numeric	 FMeasure numeric	 Sample Size	 Lift numeric	 Threshold numeric		da curva maior para a menor
30	9	68	88	0,435897	0,769231	0,306122	0,769231	0,693878	0,437956	0,502564	1,530612	0,06		
30	9	65	91	0,416667	0,769231	0,315789	0,769231	0,684211	0,447761	0,487179	1,578947	0,066667		
30	9	64	92	0,410256	0,769231	0,319149	0,769231	0,680851	0,451128	0,482051	1,595745	0,07		
29	10	62	94	0,397436	0,74359	0,318681	0,74359	0,681319	0,446154	0,466667	1,593407	0,073833		
29	10	61	95	0,391026	0,74359	0,322222	0,74359	0,677778	0,449612	0,461538	1,611111	0,08		
29	10	59	97	0,378205	0,74359	0,329545	0,74359	0,670455	0,456693	0,451282	1,647727	0,081333		
29	10	58	98	0,371795	0,74359	0,333333	0,74359	0,666667	0,460317	0,446154	1,666667	0,081361		
29	10	57	99	0,365385	0,74359	0,337209	0,74359	0,662791	464	0,441026	1,686047	0,0825		
29	10	56	100	0,358974	0,74359	0,341176	0,74359	0,658824	0,467742	0,435897	1,705882	0,088333		
29	10	55	101	0,352564	0,74359	0,345238	0,74359	0,654762	0,471545	0,430769	1,72619	0,09		
29	10	52	104	0,333333	0,74359	0,358025	0,74359	0,641975	0,483333	0,415385	1,790123	0,09119		
28	11	52	104	0,333333	0,717949	0,35	0,717949	0,65	0,470588	0,410256	1,75	0,1		
27	12	51	105	0,326923	0,692308	0,346154	0,692308	0,653846	0,461538	0,4	1,730769	0,12		
27	12	49	107	0,314103	0,692308	0,355263	0,692308	0,644737	0,469565	0,389744	1,776316	0,13		
26	13	49	107	0,314103	0,666667	0,346667	0,666667	0,653333	0,45614	0,384615	1,733333	0,136667		
26	13	48	108	0,307692	0,666667	0,351351	0,666667	0,648649	0,460177	0,379487	1,756757	139		
26	13	47	109	0,301282	0,666667	0,356164	0,666667	0,643836	0,464286	0,374359	1,780822	0,14		
26	13	45	111	0,288462	0,666667	0,366197	0,666667	0,633803	0,472727	0,364103	1,830986	0,15		
26	13	44	112	0,282051	0,666667	0,371429	0,666667	0,628571	0,477064	0,358974	1,857143	0,17		
26	13	43	113	0,275641	0,666667	0,376812	0,666667	0,623188	0,481481	0,353846	1,884058	0,171021		
25	14	43	113	0,275641	0,641026	0,367647	0,641026	0,632353	0,46729	0,348718	1,838235	0,175087		
25	14	42	114	0,269231	0,641026	0,373134	0,641026	0,626866	0,471698	0,34359	1,865672	184		
25	14	41	115	0,262821	0,641026	0,378788	0,641026	0,621212	0,47619	0,338462	1,893939	0,19		
24	15	40	116	0,25641	0,615385	375	0,615385	625	0,466019	0,328205	1875	0,21		
