@RELATION biodiversitySpreadsheets_TestSetWithoutWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{expObservation,taxonIdentification,spOccurrence,geneData,spMonitoring}

@DATA
1.00,0.00,1.00,0.00,1.00,2.00,expObservation
2.00,0.00,3.00,3.00,5.00,0.00,expObservation
0.00,1.00,0.00,0.00,2.00,0.00,expObservation
1.00,0.00,0.00,0.00,1.00,0.00,expObservation
4.00,1.00,0.00,1.00,3.00,0.00,expObservation
1.00,0.00,3.00,0.00,2.00,0.00,geneData
2.00,1.00,3.00,1.00,0.00,0.00,geneData
5.00,0.00,0.00,1.00,1.00,0.00,geneData
4.00,0.00,0.00,2.00,0.00,1.00,geneData
6.00,0.00,0.00,0.00,2.00,0.00,geneData
3.00,2.00,2.00,0.00,0.00,0.00,geneData
0.00,0.00,0.00,1.00,5.00,0.00,geneData
2.00,2.00,0.00,1.00,0.00,0.00,geneData
4.00,1.00,1.00,0.00,0.00,0.00,geneData
5.00,1.00,2.00,3.00,6.00,0.00,geneData
6.00,0.00,0.00,2.00,0.00,0.00,geneData
2.00,0.00,0.00,1.00,0.00,0.00,geneData
4.00,0.00,0.00,0.00,0.00,0.00,geneData
4.00,1.00,0.00,3.00,0.00,0.00,geneData
5.00,1.00,1.00,1.00,0.00,1.00,geneData
1.00,0.00,0.00,2.00,4.00,1.00,geneData
11.00,4.00,3.00,2.00,5.00,1.00,geneData
4.00,0.00,0.00,0.00,8.00,1.00,geneData
15.00,0.00,6.00,4.00,0.00,1.00,geneData
5.00,0.00,2.00,0.00,0.00,1.00,geneData
1.00,0.00,0.00,0.00,5.00,0.00,geneData
4.00,3.00,2.00,2.00,1.00,1.00,geneData
2.00,0.00,2.00,0.00,1.00,0.00,geneData
5.00,1.00,0.00,0.00,0.00,0.00,geneData
8.00,0.00,1.00,1.00,2.00,0.00,geneData
2.00,0.00,2.00,0.00,1.00,0.00,geneData
20.00,0.00,3.00,4.00,1.00,0.00,geneData
13.00,4.00,5.00,0.00,10.00,1.00,geneData
9.00,0.00,4.00,1.00,2.00,0.00,geneData
2.00,1.00,4.00,0.00,0.00,1.00,geneData
3.00,0.00,1.00,0.00,0.00,1.00,geneData
12.00,0.00,3.00,2.00,2.00,2.00,geneData
9.00,1.00,1.00,1.00,0.00,1.00,geneData
3.00,0.00,4.00,0.00,1.00,1.00,geneData
0.00,0.00,0.00,1.00,2.00,2.00,geneData
20.00,0.00,4.00,2.00,1.00,0.00,geneData
5.00,1.00,1.00,2.00,1.00,0.00,geneData
6.00,1.00,0.00,0.00,1.00,0.00,geneData
6.00,1.00,4.00,3.00,1.00,1.00,geneData
2.00,0.00,3.00,0.00,2.00,0.00,geneData
4.00,0.00,0.00,0.00,0.00,0.00,geneData
12.00,1.00,1.00,1.00,0.00,0.00,geneData
2.00,0.00,1.00,0.00,1.00,0.00,geneData
5.00,0.00,0.00,0.00,0.00,0.00,geneData
3.00,0.00,0.00,0.00,2.00,0.00,geneData
