@relation biodiversitySpreadsheets_TestSetWeights

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
33,6,42,114,0.269231,0.846154,0.44,0.846154,0.56,0.578947,0.384615,2.2,0.113
33,6,41,115,0.262821,0.846154,0.445946,0.846154,0.554054,0.584071,0.379487,2.22973,0.118333
33,6,40,116,0.25641,0.846154,0.452055,0.846154,0.547945,0.589286,0.374359,2.260274,0.121667
33,6,39,117,0.25,0.846154,0.458333,0.846154,0.541667,0.594595,0.369231,2.291667,0.14
33,6,37,119,0.237179,0.846154,0.471429,0.846154,0.528571,0.605505,0.358974,2.357143,0.145
33,6,36,120,0.230769,0.846154,0.478261,0.846154,0.521739,0.611111,0.353846,2.391304,0.15
33,6,35,121,0.224359,0.846154,0.485294,0.846154,0.514706,0.616822,0.348718,2.426471,0.15
33,6,34,122,0.217949,0.846154,0.492537,0.846154,0.507463,0.622642,0.34359,2.462687,0.152667
33,6,33,123,0.211538,0.846154,0.5,0.846154,0.5,0.628571,0.338462,2.5,0.16
33,6,32,124,0.205128,0.846154,0.507692,0.846154,0.492308,0.634615,0.333333,2.538462,0.173333
32,7,31,125,0.198718,0.820513,0.507937,0.820513,0.492063,0.627451,0.323077,2.539683,0.179667
32,7,30,126,0.192308,0.820513,0.516129,0.820513,0.483871,0.633663,0.317949,2.580645,0.18
31,8,29,127,0.185897,0.794872,0.516667,0.794872,0.483333,0.626263,0.307692,2.583333,0.19
31,8,27,129,0.173077,0.794872,0.534483,0.794872,0.465517,0.639175,0.297436,2.672414,0.199683
30,9,27,129,0.173077,0.769231,0.526316,0.769231,0.473684,0.625,0.292308,2.631579,0.2
29,10,25,131,0.160256,0.74359,0.537037,0.74359,0.462963,0.623656,0.276923,2.685185,0.227778
29,10,24,132,0.153846,0.74359,0.54717,0.74359,0.45283,0.630435,0.271795,2.735849,0.2375
29,10,23,133,0.147436,0.74359,0.557692,0.74359,0.442308,0.637363,0.266667,2.788462,0.242333
29,10,22,134,0.141026,0.74359,0.568627,0.74359,0.431373,0.644444,0.261538,2.843137,0.254286
28,11,22,134,0.141026,0.717949,0.56,0.717949,0.44,0.629213,0.25641,2.8,0.256833
28,11,21,135,0.134615,0.717949,0.571429,0.717949,0.428571,0.636364,0.251282,2.857143,0.266302
27,12,21,135,0.134615,0.692308,0.5625,0.692308,0.4375,0.62069,0.246154,2.8125,0.28
27,12,20,136,0.128205,0.692308,0.574468,0.692308,0.425532,0.627907,0.241026,2.87234,0.287
26,13,20,136,0.128205,0.666667,0.565217,0.666667,0.434783,0.611765,0.235897,2.826087,0.294405
26,13,19,137,0.121795,0.666667,0.577778,0.666667,0.422222,0.619048,0.230769,2.888889,0.304488
