@RELATION biodiversitySpreadsheets_whithWeights

@ATTRIBUTE what	REAL
@ATTRIBUTE who 	REAL
@ATTRIBUTE how 	REAL
@ATTRIBUTE why	REAL
@ATTRIBUTE where REAL
@ATTRIBUTE when	REAL
@ATTRIBUTE class 	{spCatalog,spOccurrence,geneData,spMonitoring,expObservation}

@DATA
0.07,0.00,0.00,0.00,0.06,1.11,spMonitoring
1.11,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.15,0.00,spMonitoring
0.00,0.00,0.00,0.00,1.06,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.47,0.00,spMonitoring
0.25,0.00,0.00,0.00,0.09,0.00,spMonitoring
0.27,0.00,0.00,0.00,0.00,0.07,spMonitoring
0.27,0.00,0.00,0.00,0.00,0.07,spMonitoring
0.31,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.02,0.00,0.00,0.11,0.00,0.12,spMonitoring
0.04,0.02,0.01,0.28,0.00,1.00,spMonitoring
1.00,0.00,0.00,0.00,0.17,0.00,spMonitoring
1.17,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.35,0.00,0.00,0.00,0.00,0.02,spMonitoring
0.35,0.00,0.00,0.00,0.00,0.02,spMonitoring
1.11,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.13,0.00,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
1.26,0.00,0.00,0.00,0.11,0.02,spMonitoring
0.04,0.06,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.06,0.00,0.00,0.02,0.36,spMonitoring
0.11,0.00,0.03,0.00,0.00,1.00,spMonitoring
0.00,0.25,0.00,0.00,0.00,0.17,spMonitoring
0.40,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.00,1.25,spMonitoring
0.33,0.00,0.00,0.00,0.01,0.01,spMonitoring
1.12,0.00,0.04,0.00,0.11,0.01,spMonitoring
0.00,0.00,1.11,0.00,0.00,0.00,spMonitoring
0.00,1.00,0.00,0.00,0.36,0.00,spMonitoring
0.00,0.11,0.31,0.00,0.00,0.00,spMonitoring
1.06,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.25,0.00,0.00,0.10,0.00,spMonitoring
0.09,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.00,0.00,0.00,0.00,0.00,1.06,spMonitoring
0.03,0.00,0.03,0.00,0.00,0.23,spMonitoring
0.00,0.00,0.11,0.25,1.00,0.00,spMonitoring
0.12,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.36,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.12,0.00,0.00,0.04,0.05,0.04,spMonitoring
0.10,0.00,0.00,0.04,0.01,1.02,spMonitoring
0.37,0.00,0.06,0.00,0.00,0.02,spMonitoring
1.06,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.22,0.00,0.00,0.00,0.00,0.00,spMonitoring
0.29,0.00,0.00,0.00,0.00,1.00,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
0.04,0.00,0.00,0.02,1.25,0.07,spMonitoring
